,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,1988-04-13,1481.2,0.629
1,1991-06-09,1582.0,0.671
2,1992-03-07,1789.2,0.647
3,1992-07-26,1917.1,0.698
4,1994-09-21,2268.2,0.589
5,2001-05-11,1953.1,0.653
6,2001-07-14,2148.9,0.622
7,2002-03-11,1801.2,0.544
8,2002-05-30,2155.1,0.613
9,2003-04-15,1726.9,0.604
10,2005-08-10,1450.2,0.644
11,2007-03-09,1906.6,0.626
12,2008-07-01,1430.0,0.408
13,2009-05-17,1646.5,0.417
14,2009-08-05,1671.3,0.616
15,2009-09-06,1484.5,0.475
16,2010-08-24,1400.6,0.426
17,2011-06-08,1501.1,0.414
18,2011-07-10,1743.6,0.532
19,2011-08-11,1158.8,0.536
20,2012-05-25,1669.0,0.488
21,2012-08-13,1200.2,0.462
22,2013-03-25,1478.3,0.687
23,2013-03-27,1435.6,0.744
24,2013-03-28,1437.2,0.707
25,2013-04-04,1461.7,0.634
27,2013-04-07,1578.5,0.707
28,2013-04-10,1442.8,0.43
29,2013-04-22,1620.7,0.725
30,2013-05-01,1969.3,0.753
31,2013-05-08,1608.4,0.7
32,2013-05-16,1433.3,0.701
33,2013-05-24,1715.3,0.735
34,2013-06-01,1684.0,0.731
35,2013-06-17,1739.1,0.709
36,2014-10-17,1663.6,0.694
37,2014-10-25,1647.1,0.572
38,2014-10-29,1474.4,0.557
39,2014-11-06,1516.8,0.539
40,2014-11-10,1700.7,0.67
41,2014-11-18,1537.4,0.58
42,2014-11-22,1442.7,0.538
43,2014-11-30,1614.6,0.628
44,2014-12-04,1551.1,0.658
45,2014-12-12,1424.4,0.493
46,2014-12-16,1454.7,0.564
47,2014-12-28,1518.5,0.534
48,2015-01-09,1469.6,0.544
49,2015-01-17,1391.6,0.53
50,2015-01-21,1284.0,0.48
51,2015-01-29,1376.7,0.448
52,2015-02-02,1342.2,0.417
53,2015-02-10,1415.7,0.472
54,2015-02-14,1452.9,0.482
55,2015-02-22,1422.2,0.516
56,2015-02-26,1246.5,0.402
57,2015-03-06,1467.6,0.52
58,2015-03-10,1365.2,0.468
59,2015-03-18,1194.7,0.43
60,2015-03-22,1390.8,0.443
61,2015-03-30,1430.7,0.466
62,2015-04-03,1419.0,0.473
63,2015-04-11,1423.2,0.479
64,2015-04-15,1378.6,0.485
65,2015-04-23,1462.6,0.522
66,2015-04-27,1564.8,0.584
67,2015-05-05,1352.2,0.485
68,2015-05-09,1711.8,0.613
69,2015-05-21,1692.5,0.697
70,2015-06-02,1645.9,0.639
71,2015-08-01,1572.0,0.649
72,2015-08-11,1625.0,0.753
75,2015-08-13,1523.6,0.658
76,2015-08-25,1543.1,0.698
77,2015-09-06,1574.8,0.623
78,2015-09-18,1604.1,0.605
79,2015-11-17,1519.0,0.645
80,2015-11-29,1410.2,0.55
81,2015-12-11,1510.9,0.601
82,2015-12-23,1504.3,0.594
83,2016-01-04,1468.8,0.539
84,2016-01-16,1389.3,0.507
85,2016-01-28,1449.2,0.466
86,2016-02-09,1329.3,0.474
87,2016-02-17,1489.3,0.473
88,2016-02-21,1455.9,0.496
89,2016-02-24,1324.1,0.425
90,2016-02-29,1445.2,0.438
91,2016-03-04,1317.9,0.427
92,2016-03-12,1598.7,0.527
93,2016-03-31,1803.5,0.737
96,2016-04-09,1674.9,0.595
97,2016-04-21,1851.8,0.712
98,2016-04-30,1800.3,0.728
101,2016-05-03,1823.7,0.728
102,2016-05-10,1897.1,0.737
106,2016-05-15,1822.1,0.673
107,2016-05-27,1977.1,0.71
110,2016-06-06,2065.1,0.675
114,2016-06-08,1930.6,0.627
115,2016-06-16,2112.6,0.742
119,2016-07-03,1867.9,0.69
121,2016-07-13,1836.0,0.686
123,2016-07-14,1516.2,0.669
124,2016-07-16,1545.6,0.751
127,2016-07-19,1212.2,0.775
130,2016-07-26,691.5,0.756
134,2016-07-29,698.3,0.779
140,2016-08-05,714.3,0.772
143,2016-08-07,660.5,0.714
144,2016-08-08,737.7,0.717
150,2016-08-12,766.2,0.78
151,2016-08-19,748.3,0.704
152,2016-08-31,796.8,0.759
153,2016-09-04,860.6,0.797
156,2016-09-07,848.0,0.782
162,2016-09-12,910.1,0.781
163,2016-09-24,916.8,0.749
