,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,1988-04-13,540.1,0.988
1,1989-05-11,703.2,0.968
2,1990-06-15,978.4,0.99
3,1992-03-07,767.3,0.994
4,1992-04-01,860.1,0.966
5,1992-04-08,566.3,0.99
6,1992-04-17,572.4,1.0
7,1992-07-26,842.6,1.001
8,1993-03-19,760.8,0.983
9,1994-06-26,771.0,0.968
10,1994-09-21,373.9,0.99
11,1995-07-15,756.7,0.968
12,2000-05-01,616.1,0.981
13,2000-05-17,653.3,0.803
14,2001-05-11,862.0,0.989
15,2001-07-07,908.1,0.978
16,2001-07-14,850.9,0.979
17,2001-08-08,852.0,0.98
18,2002-03-11,857.5,0.973
19,2002-05-30,1042.7,0.942
20,2003-04-15,907.0,0.892
21,2009-04-08,928.6,0.893
22,2013-03-28,1748.8,0.898
23,2013-04-04,1755.2,0.927
24,2013-04-07,1875.6,1.013
25,2013-04-22,1929.4,0.901
26,2013-05-01,2046.9,0.926
27,2013-05-08,1795.5,0.911
28,2013-05-16,1945.3,0.86
29,2013-05-17,1725.9,0.83
30,2013-05-24,1832.6,0.958
31,2013-06-01,1519.7,0.818
32,2013-06-17,2049.6,0.917
33,2013-10-07,2226.1,0.86
34,2016-03-31,1636.2,0.961
36,2016-04-30,1761.6,0.889
38,2016-05-10,1719.6,0.978
40,2016-08-05,1829.6,0.84
43,2016-08-08,1891.5,0.816
47,2016-09-04,1738.9,0.882
50,2016-09-07,1729.9,0.856
54,2016-10-07,1735.1,0.852
58,2016-12-08,1908.7,0.9
59,2016-12-14,1666.0,0.826
60,2017-01-13,1684.3,0.839
61,2017-02-08,1512.2,0.946
62,2017-02-21,1459.6,0.929
66,2017-02-24,1581.7,0.961
67,2017-03-06,1509.3,0.886
70,2017-03-20,1508.8,0.915
71,2017-03-26,1489.2,0.831
72,2017-04-01,1718.3,0.996
73,2017-04-07,1601.2,0.978
74,2017-04-13,1441.0,0.866
75,2017-04-19,1524.4,0.978
76,2017-05-07,1557.8,0.936
77,2017-05-13,1530.1,0.903
78,2017-05-19,1633.1,0.815
79,2017-05-29,1660.4,0.957
80,2017-06-06,1684.3,0.857
81,2017-06-08,1817.2,0.901
83,2017-06-24,1589.7,0.826
84,2017-07-09,1991.2,0.897
87,2017-07-14,1564.3,0.846
90,2017-07-16,1817.6,0.976
95,2017-07-18,1819.0,0.897
97,2017-07-21,1826.9,0.914
99,2017-07-23,1760.4,0.868
103,2017-07-26,1665.1,0.933
106,2017-08-01,1717.2,1.01
111,2017-08-02,1685.8,1.015
112,2017-08-03,1826.9,0.956
119,2017-08-05,1669.1,0.938
123,2017-08-06,1735.1,0.943
127,2017-08-07,1699.7,0.927
128,2017-08-08,1862.2,0.942
136,2017-08-10,1663.2,0.926
139,2017-08-11,1798.9,0.921
143,2017-08-13,1725.9,0.927
147,2017-08-14,1491.5,0.95
148,2017-08-19,1453.5,0.888
151,2017-08-20,1562.7,0.935
155,2017-08-25,1510.6,0.82
156,2017-08-26,1650.2,0.885
157,2017-08-30,1613.7,0.944
160,2017-08-31,1659.9,0.944
161,2017-09-01,1669.7,0.95
164,2017-09-06,1718.7,0.81
165,2017-09-07,1705.6,0.855
166,2017-09-10,1516.0,0.826
167,2017-09-12,1442.7,0.815
168,2017-09-13,1556.6,0.969
169,2017-09-18,1680.2,0.853
170,2017-09-22,1790.4,0.86
171,2017-09-24,1572.6,0.878
