,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,1988-04-13,784.9,0.926
1,1989-05-11,1226.9,0.921
2,1992-03-07,1097.4,0.938
3,1992-07-26,1469.5,0.957
4,1994-06-26,727.6,0.969
5,1994-09-21,887.2,0.967
6,1995-07-15,1198.3,0.944
7,2001-05-11,1052.2,0.989
8,2001-06-05,1145.8,0.887
9,2001-07-14,1112.3,0.971
10,2001-08-08,997.0,0.955
11,2002-03-11,952.2,0.853
12,2002-05-30,1329.2,0.965
13,2003-04-15,896.4,0.965
14,2004-04-17,925.8,0.992
15,2009-05-17,1843.2,0.955
16,2010-04-18,1907.5,0.905
17,2010-08-08,1866.2,0.861
18,2011-05-23,1907.6,0.921
19,2011-06-24,1821.8,0.868
20,2011-08-11,1071.5,0.907
21,2012-08-13,1206.4,0.944
22,2013-03-28,1507.6,0.973
23,2013-04-04,1534.4,0.985
24,2013-04-07,1552.1,0.984
25,2013-04-10,1697.7,0.95
26,2013-04-22,1606.7,0.992
27,2013-05-01,1914.6,1.0
28,2013-05-08,1562.4,0.998
29,2013-05-16,1687.1,0.969
30,2013-05-24,1697.4,0.999
31,2013-06-01,1609.6,0.996
32,2013-06-06,2116.2,0.835
33,2013-06-17,1795.6,0.965
34,2014-10-17,1242.4,0.886
35,2014-10-25,1110.2,0.895
36,2014-10-29,877.1,0.869
37,2014-11-10,1095.2,0.909
38,2014-11-22,1119.0,0.827
39,2015-01-09,1359.8,0.848
40,2015-02-10,1360.2,0.811
41,2015-02-14,1382.0,0.932
42,2015-02-22,1465.9,0.919
43,2015-02-26,1441.1,0.948
44,2015-03-22,1526.8,0.847
45,2015-05-09,1500.2,0.882
46,2015-06-02,1639.9,0.815
47,2015-08-01,1186.7,0.874
48,2015-08-11,1263.2,1.001
51,2015-08-13,1207.6,0.91
52,2015-08-25,1210.5,0.942
53,2015-09-06,1248.7,0.876
54,2015-11-17,1489.2,0.888
55,2016-02-17,1564.8,0.879
56,2016-02-24,1596.1,0.851
57,2016-02-29,1597.8,0.829
58,2016-03-31,1473.4,0.997
61,2016-04-09,1534.5,0.895
62,2016-04-21,1588.3,0.904
63,2016-04-30,1575.0,0.992
66,2016-05-03,1662.4,0.89
67,2016-05-10,1674.5,0.986
71,2016-05-15,1704.1,0.84
72,2016-06-08,1873.2,0.87
73,2016-06-16,1581.5,0.985
77,2016-07-03,1576.6,0.996
79,2016-07-13,1504.6,0.992
81,2016-07-14,1472.4,0.907
82,2016-07-16,1453.8,1.003
85,2016-07-19,1547.5,0.969
88,2016-07-26,1318.5,0.977
92,2016-07-29,1129.3,1.006
98,2016-08-05,1086.1,0.995
101,2016-08-07,1039.7,0.906
102,2016-08-08,1094.5,0.995
108,2016-08-12,1072.3,0.975
109,2016-08-19,1071.9,0.867
110,2016-08-31,935.6,0.948
111,2016-09-04,957.2,0.993
114,2016-09-07,953.2,0.995
120,2016-09-24,955.4,0.938
121,2016-10-03,1061.2,0.964
122,2016-10-06,1054.8,0.899
123,2016-10-09,1096.3,0.968
124,2016-10-12,1109.6,0.921
125,2016-10-15,1165.1,0.971
126,2016-10-18,1108.5,0.91
127,2016-10-21,1087.0,0.963
128,2016-10-24,1110.2,0.961
129,2016-10-27,1137.7,0.949
130,2016-10-30,1175.0,0.974
131,2016-11-02,1199.7,0.982
132,2016-11-05,1160.5,0.913
133,2016-11-08,1127.9,0.979
134,2016-11-11,1151.7,0.879
135,2016-11-14,1142.1,0.974
136,2016-11-17,1192.2,0.966
137,2016-11-20,1214.4,0.968
138,2016-11-23,1210.7,0.897
139,2016-11-26,1210.9,0.959
140,2016-11-29,1200.1,0.857
141,2016-12-02,1207.6,0.917
142,2016-12-05,1222.9,0.92
143,2016-12-08,1270.5,0.994
144,2016-12-11,1248.8,0.917
145,2016-12-14,1257.5,0.979
146,2016-12-17,1228.0,0.866
147,2016-12-20,1289.6,0.994
148,2016-12-23,1295.7,0.909
149,2016-12-26,1323.0,0.901
150,2016-12-29,1308.9,0.923
151,2017-01-01,1328.5,1.0
152,2017-01-04,1306.8,0.898
153,2017-01-07,1349.4,0.983
154,2017-01-10,1302.7,0.898
155,2017-01-13,1307.1,0.943
156,2017-01-16,1244.7,0.931
157,2017-01-19,1307.8,0.977
158,2017-01-22,1247.4,0.81
159,2017-01-25,1257.7,0.882
160,2017-01-27,1257.8,0.81
161,2017-01-28,1316.5,0.834
162,2017-01-31,1405.8,0.899
163,2017-02-02,1329.0,0.888
164,2017-02-03,1300.9,0.977
166,2017-02-05,1359.8,0.869
168,2017-02-06,1289.7,1.006
169,2017-02-08,1388.4,0.981
170,2017-02-09,1434.9,0.981
172,2017-02-11,1432.7,0.82
174,2017-02-12,1491.5,0.981
175,2017-02-14,1395.9,0.997
176,2017-02-15,1345.1,0.997
178,2017-02-18,1360.3,0.995
179,2017-02-21,1327.1,0.951
186,2017-02-24,1319.3,1.004
187,2017-02-27,1385.8,0.889
188,2017-03-02,1410.5,0.992
189,2017-03-05,1354.7,0.893
190,2017-03-06,1338.5,1.006
196,2017-03-08,1406.4,0.996
197,2017-03-11,1367.1,0.896
198,2017-03-14,1341.0,0.935
199,2017-03-17,1389.3,0.89
200,2017-03-20,1421.6,1.017
201,2017-03-23,1349.3,0.811
202,2017-03-26,1330.2,0.933
203,2017-04-01,1401.7,0.875
204,2017-04-07,1463.2,0.837
205,2017-04-10,1378.8,0.832
206,2017-04-13,1391.8,0.981
207,2017-04-16,1370.1,0.852
208,2017-04-19,1406.0,0.933
209,2017-04-28,1499.0,0.824
210,2017-05-01,1551.2,0.973
211,2017-05-04,1544.8,0.864
212,2017-05-07,1474.9,0.987
213,2017-05-10,1462.6,0.999
214,2017-05-13,1433.0,1.005
215,2017-05-16,1456.1,0.961
216,2017-05-19,1547.0,0.993
217,2017-05-22,1511.4,0.84
218,2017-05-25,1492.4,0.917
219,2017-05-28,1450.1,0.88
220,2017-05-29,1470.5,0.994
221,2017-05-31,1441.8,0.972
222,2017-06-03,1513.2,0.948
223,2017-06-06,1571.0,0.996
224,2017-06-08,1597.9,0.996
225,2017-06-09,1574.4,0.861
226,2017-06-12,1584.9,0.965
227,2017-06-15,1532.2,0.92
228,2017-06-18,1461.5,0.987
229,2017-06-21,1466.2,0.874
230,2017-06-24,1533.5,0.918
231,2017-06-27,1439.6,0.812
232,2017-06-30,1310.2,0.871
233,2017-07-03,1341.7,0.865
234,2017-07-06,1376.8,0.952
235,2017-07-09,1630.4,0.992
239,2017-07-12,1511.5,0.948
240,2017-07-14,1515.5,0.98
243,2017-07-16,1482.4,0.997
247,2017-07-18,1394.8,0.991
249,2017-07-21,1287.8,0.985
251,2017-07-23,1470.7,0.983
252,2017-07-26,1650.5,0.985
256,2017-07-28,1424.2,0.909
257,2017-07-30,1264.6,0.971
258,2017-07-31,1201.6,0.946
259,2017-08-01,1313.3,1.007
266,2017-08-02,1182.0,0.988
268,2017-08-03,1133.8,1.007
277,2017-08-04,1171.8,0.918
279,2017-08-05,1165.3,1.007
289,2017-08-06,1098.0,1.007
295,2017-08-07,1159.8,0.945
297,2017-08-08,1189.2,0.998
309,2017-08-10,1101.4,0.995
311,2017-08-11,1088.1,0.989
319,2017-08-13,956.3,0.989
322,2017-08-14,964.4,0.986
324,2017-08-16,953.1,0.943
326,2017-08-17,956.9,0.992
327,2017-08-19,1011.2,0.948
328,2017-08-20,976.4,0.995
333,2017-08-22,960.4,0.888
335,2017-08-23,987.6,0.979
336,2017-08-25,1009.9,0.9
338,2017-08-26,1028.8,0.973
