,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,1985-04-06,1795.7,0.586
1,1985-04-14,1700.4,0.458
2,1985-04-18,1568.1,0.279
3,1985-04-22,1819.4,0.63
4,1985-04-26,1778.5,0.594
5,1985-04-30,1447.3,0.428
6,1985-05-28,1600.9,0.358
7,1985-06-07,1893.4,0.469
8,1985-06-15,1739.7,0.205
9,1985-06-21,1851.9,0.469
10,1985-07-18,1792.3,0.383
11,1985-08-18,1467.3,0.474
12,1985-08-26,1679.7,0.589
13,1985-09-16,1666.2,0.544
14,1986-04-09,1786.6,0.576
15,1986-04-17,1366.6,0.418
16,1987-07-15,1649.7,0.333
17,1987-08-24,1420.0,0.544
18,1987-09-01,1350.2,0.651
19,1987-09-23,1264.5,0.51
20,1988-04-13,1481.2,0.629
22,1988-04-14,1511.7,0.591
23,1988-04-28,1110.9,0.27
24,1988-05-14,2040.6,0.685
25,1988-05-22,1238.0,0.301
26,1988-05-30,1728.1,0.619
27,1988-06-23,1628.8,0.391
28,1989-03-30,1687.5,0.643
29,1989-04-01,1574.5,0.728
30,1989-04-09,1331.6,0.453
31,1989-04-15,1675.4,0.676
32,1989-04-17,1838.1,0.628
33,1989-05-01,1134.0,0.221
34,1989-05-07,1730.6,0.577
35,1989-06-10,1391.5,0.26
36,1989-08-29,1406.3,0.422
37,1990-03-22,1579.1,0.322
38,1990-03-25,1632.9,0.5
39,1990-04-02,1491.2,0.313
40,1990-04-18,1989.3,0.669
41,1990-04-19,1425.1,0.645
42,1990-05-05,996.5,0.297
43,1990-05-09,1427.0,0.534
44,1990-05-10,1643.0,0.635
45,1990-05-14,1359.8,0.472
46,1990-06-03,1485.9,0.436
47,1990-06-06,1332.8,0.271
48,1991-03-20,14969.1,0.384
49,1991-03-25,1459.1,0.61
50,1991-03-29,1288.6,0.524
51,1991-03-30,1344.9,0.505
52,1991-04-06,1312.0,0.401
53,1991-04-14,751.4,0.23
54,1991-04-18,1336.4,0.622
55,1991-04-21,1510.8,0.733
56,1991-04-30,1115.2,0.389
57,1991-05-05,1258.0,0.54
58,1991-05-07,1258.6,0.363
59,1991-05-12,1431.2,0.623
60,1991-05-16,1407.7,0.402
61,1991-06-05,1540.3,0.538
62,1991-06-09,1582.0,0.671
63,1991-08-17,1350.0,0.52
64,1992-03-07,1789.2,0.647
65,1992-03-16,1494.5,0.464
66,1992-03-20,1449.5,0.345
67,1992-03-22,1892.2,0.598
68,1992-03-23,1696.4,0.59
70,1992-03-24,1773.5,0.669
71,1992-03-27,1716.7,0.528
72,1992-03-28,1750.5,0.54
73,1992-03-30,1755.4,0.495
75,1992-03-31,1852.9,0.636
78,1992-04-04,1775.0,0.602
79,1992-04-05,1450.3,0.395
80,1992-04-08,1860.9,0.64
81,1992-04-09,1732.0,0.647
82,1992-04-13,1568.8,0.519
83,1992-04-16,1490.1,0.578
84,1992-07-14,2144.8,0.589
85,1992-07-18,1885.1,0.505
86,1992-07-22,2070.1,0.559
87,1992-07-26,1917.1,0.698
88,1992-09-06,1660.3,0.459
89,1993-03-15,1747.8,0.617
90,1993-03-18,1915.6,0.607
91,1993-03-23,1517.5,0.467
92,1993-03-30,1526.9,0.374
93,1993-03-31,1065.2,0.236
94,1993-04-11,1967.2,0.65
95,1993-04-12,1828.1,0.679
96,1993-04-15,1401.2,0.386
