,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,1985-03-21,813.3,0.531
1,1985-03-29,727.0,0.494
2,1985-04-02,696.5,0.603
3,1985-04-05,698.1,0.559
4,1985-04-06,695.5,0.994
5,1985-04-10,671.4,0.428
6,1985-04-11,725.6,0.903
7,1985-04-14,739.6,0.907
8,1985-04-18,696.4,0.812
9,1985-04-19,758.3,0.836
11,1985-04-22,751.5,0.974
13,1985-04-26,741.1,0.92
14,1985-04-27,620.1,0.482
15,1985-04-30,717.3,0.504
17,1985-05-04,693.7,0.443
18,1985-05-05,737.7,0.563
20,1985-05-08,856.2,0.653
22,1985-05-12,739.3,0.468
23,1985-05-13,719.0,0.316
25,1985-05-15,937.1,0.849
26,1985-05-16,777.8,0.448
27,1985-05-20,784.2,0.517
28,1985-05-21,730.5,0.408
31,1985-05-23,805.2,0.666
32,1985-05-24,772.2,0.51
34,1985-05-25,901.9,0.444
35,1985-05-28,797.1,0.583
36,1985-05-29,826.1,0.539
39,1985-05-31,856.0,0.891
41,1985-06-01,895.8,0.942
42,1985-06-05,778.3,0.429
43,1985-06-06,855.7,0.455
45,1985-06-09,957.0,0.778
46,1985-06-13,905.2,0.753
47,1985-06-16,744.6,0.258
48,1985-06-20,723.4,0.322
49,1985-06-21,940.3,0.743
51,1985-06-22,1039.4,0.87
52,1985-06-24,730.7,0.435
53,1985-06-28,700.6,0.449
54,1985-07-03,745.4,0.525
55,1985-07-06,738.1,0.6
56,1985-07-12,817.2,0.876
57,1985-07-16,850.5,0.927
58,1985-07-18,763.5,0.865
59,1985-07-19,660.6,0.432
60,1985-07-23,716.8,0.458
61,1985-07-24,695.1,0.385
62,1985-07-28,654.7,0.709
64,1985-08-01,642.6,0.625
66,1985-08-03,639.2,0.73
67,1985-08-04,650.4,0.661
68,1985-08-12,522.3,0.259
69,1985-08-16,652.2,0.504
70,1985-08-17,688.0,0.833
71,1985-08-18,726.9,0.844
72,1985-08-21,682.2,0.599
73,1985-08-31,686.7,0.639
74,1985-09-06,796.1,0.836
75,1985-09-13,761.9,0.789
76,1985-09-16,778.6,0.924
77,1986-04-09,917.3,0.815
78,1986-04-17,421.1,0.926
79,1986-04-22,996.6,0.969
80,1986-06-29,724.6,0.377
81,1987-05-18,760.0,0.467
82,1987-05-30,810.9,0.483
83,1987-06-12,963.4,0.283
84,1987-06-15,723.3,0.39
86,1987-07-09,735.3,0.893
87,1987-07-13,757.8,0.971
88,1987-07-29,572.9,0.689
89,1987-08-14,625.1,0.925
90,1987-08-18,558.4,0.486
91,1987-09-03,576.1,0.611
92,1987-09-23,695.5,0.946
93,1988-04-06,698.5,0.939
94,1988-04-13,540.1,0.988
96,1988-04-14,592.4,0.991
97,1988-05-04,633.1,0.407
98,1988-05-08,613.9,0.502
99,1988-05-15,757.2,0.485
100,1988-05-16,787.6,0.58
101,1988-06-02,638.3,0.32
102,1988-06-30,731.0,0.843
103,1988-07-08,629.4,0.699
104,1988-07-28,632.3,0.975
105,1988-08-04,537.2,0.475
106,1988-08-25,500.0,0.574
107,1989-04-01,709.4,0.972
108,1989-04-06,657.1,0.962
110,1989-04-09,603.1,0.947
111,1989-04-10,654.4,0.958
113,1989-04-14,717.4,0.877
115,1989-04-17,688.9,0.996
116,1989-04-21,643.3,0.732
117,1989-04-25,604.2,0.736
118,1989-05-03,658.3,0.934
119,1989-05-07,689.7,0.987
120,1989-05-11,703.2,0.968
121,1989-05-20,695.0,0.327
122,1989-05-24,630.1,0.306
123,1989-05-28,700.6,0.412
124,1989-06-01,673.1,0.363
126,1989-06-05,712.7,0.521
127,1989-06-09,637.0,0.363
128,1989-06-12,709.1,0.438
129,1989-06-13,686.2,0.445
130,1989-06-20,661.2,0.364
131,1989-07-02,656.6,0.375
132,1989-08-16,578.1,0.661
133,1989-08-24,634.9,0.724
134,1990-03-22,650.2,0.827
135,1990-03-31,584.9,0.582
136,1990-04-11,585.3,0.6
137,1990-04-12,533.8,0.419
138,1990-04-16,568.8,0.529
139,1990-04-19,828.9,1.017
140,1990-05-05,716.9,0.695
141,1990-05-09,742.5,0.907
142,1990-05-10,643.6,0.901
143,1990-05-11,774.9,0.915
144,1990-05-13,700.0,0.409
145,1990-05-14,710.0,0.835
146,1990-05-17,686.0,0.405
147,1990-05-21,739.8,0.402
148,1990-05-22,720.2,0.487
149,1990-05-25,731.4,0.449
150,1990-05-26,662.0,0.452
151,1990-05-27,704.2,0.419
152,1990-05-30,933.7,0.879
153,1990-05-31,766.5,0.886
154,1990-06-03,1016.0,0.827
155,1990-06-06,848.8,0.604
156,1990-06-07,844.2,0.656
157,1990-06-15,978.4,0.99
158,1990-06-16,975.9,0.955
159,1990-06-20,760.7,0.493
160,1990-07-01,858.5,0.948
161,1990-07-02,738.5,0.941
162,1990-07-14,617.8,0.278
163,1990-07-18,599.0,0.476
164,1990-07-25,565.7,0.326
165,1990-07-30,572.8,0.431
166,1990-08-02,508.8,0.524
168,1990-08-03,608.6,0.774
169,1990-08-11,554.4,0.715
170,1990-09-04,638.8,0.879
171,1991-03-23,685.8,0.731
172,1991-03-25,775.4,0.919
173,1991-03-27,614.4,0.926
174,1991-03-29,731.7,0.912
176,1991-03-30,684.0,0.933
177,1991-04-02,706.0,0.671
178,1991-04-03,667.7,0.643
179,1991-04-04,660.6,0.869
180,1991-04-06,566.9,0.279
181,1991-04-08,702.8,0.572
182,1991-04-12,607.9,0.696
183,1991-04-14,717.3,0.788
184,1991-04-15,705.1,0.965
186,1991-04-18,618.3,0.802
188,1991-04-20,595.1,0.611
189,1991-04-22,560.4,0.579
190,1991-04-23,568.4,0.625
191,1991-04-24,724.6,0.968
192,1991-04-28,701.8,0.954
194,1991-04-30,637.8,0.753
197,1991-05-01,1886.2,0.859
198,1991-05-02,701.5,1.0
201,1991-05-05,616.8,0.781
203,1991-05-06,738.8,0.728
204,1991-05-08,721.3,0.798
205,1991-05-09,1395.9,0.693
206,1991-05-10,735.4,0.933
207,1991-06-09,834.5,0.975
208,1991-06-10,599.2,0.389
209,1991-06-23,596.5,0.455
