,Date,ITS_LIVE Mean Velocity,Mask Ratio
0,1985-04-02,1229.0,0.476
1,1985-04-05,1220.7,0.437
2,1985-04-06,1001.6,0.95
3,1985-04-10,1174.1,0.301
4,1985-04-14,1074.3,0.868
5,1985-04-18,994.1,0.823
6,1985-04-22,1101.1,0.932
8,1985-04-26,997.2,0.919
9,1985-04-30,971.5,0.866
10,1985-05-04,1282.6,0.288
11,1985-05-12,1321.9,0.327
12,1985-05-20,1463.1,0.652
13,1985-05-23,1343.9,0.726
14,1985-05-28,1305.1,0.889
15,1985-06-05,1507.5,0.317
16,1985-06-09,1630.7,0.435
17,1985-06-21,1303.8,0.928
18,1985-06-24,1493.0,0.261
19,1985-07-06,1122.8,0.706
20,1985-07-18,1033.6,0.937
21,1985-07-23,1008.9,0.401
23,1985-08-03,847.2,0.808
24,1985-08-04,865.8,0.689
25,1985-08-16,903.3,0.436
26,1985-08-18,666.1,0.922
27,1985-08-31,593.4,0.841
28,1985-09-16,557.7,0.963
29,1986-04-09,1152.2,0.795
30,1986-04-17,529.8,0.866
31,1986-04-22,1381.5,0.866
32,1987-05-30,1537.5,0.398
33,1987-07-29,782.9,0.712
34,1987-08-18,798.4,0.334
35,1987-09-23,504.1,0.9
36,1988-04-13,784.9,0.926
38,1988-04-14,828.3,0.921
39,1988-05-15,1206.8,0.307
40,1988-05-16,1202.6,0.402
41,1988-08-04,979.2,0.349
42,1989-04-01,996.9,1.004
43,1989-04-06,802.8,0.621
44,1989-04-09,967.5,0.854
46,1989-04-10,448.4,0.244
47,1989-04-14,1066.2,0.592
50,1989-04-17,1011.0,0.934
51,1989-04-21,1124.0,0.509
52,1989-05-03,977.5,0.593
53,1989-05-07,1016.7,0.914
54,1989-05-11,1226.9,0.921
55,1989-06-01,1431.2,0.202
56,1989-06-05,1532.0,0.291
57,1989-06-12,1583.3,0.326
58,1989-08-16,1168.5,0.355
59,1989-08-24,972.0,0.622
60,1990-03-22,1273.5,0.754
61,1990-03-31,1426.4,0.477
62,1990-04-11,1343.9,0.2
63,1990-04-19,1200.6,0.972
64,1990-05-05,1412.8,0.314
65,1990-05-09,1181.1,0.906
66,1990-05-10,1144.7,0.89
67,1990-05-14,1182.8,0.681
68,1990-05-21,1520.1,0.325
69,1990-05-22,1529.7,0.459
70,1990-05-25,1540.8,0.24
71,1990-05-26,1603.7,0.329
72,1990-06-03,1476.6,0.875
73,1990-06-06,1646.0,0.68
74,1991-03-25,1058.6,0.89
75,1991-03-29,1094.6,0.838
76,1991-03-30,1172.1,0.804
77,1991-04-02,797.4,0.29
78,1991-04-03,777.3,0.232
79,1991-04-06,913.6,0.519
80,1991-04-14,628.7,0.373
81,1991-04-18,930.6,0.767
83,1991-04-22,1158.0,0.326
84,1991-04-23,1085.5,0.475
85,1991-04-30,982.1,0.736
87,1991-05-05,957.2,0.843
88,1991-05-08,677.2,0.266
89,1991-06-09,1280.9,0.991
91,1991-07-11,1149.7,0.728
92,1991-07-16,1286.9,0.249
93,1991-07-23,1238.0,0.405
94,1991-08-17,716.6,0.907
95,1992-03-07,1097.4,0.938
96,1992-03-13,737.7,0.304
97,1992-03-16,1081.3,0.863
98,1992-03-17,766.7,0.314
99,1992-03-20,1105.7,0.822
100,1992-03-21,824.0,0.22
101,1992-03-23,1210.8,0.952
104,1992-03-24,1129.3,0.935
105,1992-03-25,832.0,0.274
106,1992-03-27,1203.1,0.903
107,1992-03-28,1182.7,0.927
108,1992-03-29,905.1,0.382
110,1992-03-31,1331.4,0.976
113,1992-04-01,1000.6,0.419
114,1992-04-02,1091.0,0.438
116,1992-04-04,1184.4,0.949
117,1992-04-05,1157.0,0.817
118,1992-04-06,911.4,0.349
119,1992-04-08,1185.3,0.965
121,1992-04-09,1036.9,0.968
122,1992-04-10,739.3,0.36
123,1992-04-13,1148.5,0.922
124,1992-04-16,1026.1,0.954
125,1992-04-17,957.7,0.382
126,1992-04-18,602.6,0.387
127,1992-06-20,1379.6,0.695
128,1992-06-25,1362.9,0.554
129,1992-06-28,1656.9,0.38
130,1992-07-03,1792.3,0.308
131,1992-07-05,1668.7,0.869
132,1992-07-10,1607.5,0.816
133,1992-07-14,1489.2,0.941
135,1992-07-18,1425.7,0.869
136,1992-07-19,1318.2,0.685
137,1992-07-22,1450.2,0.913
138,1992-07-26,1469.5,0.957
139,1992-08-20,1116.0,0.415
141,1992-08-24,1189.5,0.51
142,1992-09-04,1500.2,0.321
143,1992-09-08,1519.8,0.242
144,1992-10-03,1571.4,0.463
145,1993-03-15,1477.2,0.943
146,1993-03-18,1428.0,0.979
147,1993-03-23,1308.7,0.951
148,1993-03-30,1451.8,0.76
149,1993-03-31,1392.7,0.544
150,1993-04-04,1586.0,0.407
152,1993-04-08,1539.4,0.541
154,1993-04-11,1580.4,0.962
155,1993-04-12,1288.7,0.926
156,1993-04-15,1547.0,0.286
157,1993-04-19,1485.6,0.569
158,1993-04-20,1459.1,0.836
159,1993-04-23,1581.5,0.497
160,1993-04-24,1492.9,0.797
161,1993-04-26,906.6,0.264
163,1993-04-27,1457.1,0.948
166,1993-04-28,1763.2,0.923
167,1993-07-09,1521.6,0.276
168,1993-07-17,1390.8,0.356
169,1994-05-25,502.3,0.951
170,1994-06-02,604.2,0.873
171,1994-06-07,689.4,0.947
172,1994-06-10,720.0,0.934
173,1994-06-11,781.2,0.994
174,1994-06-13,702.5,0.873
175,1994-06-14,705.6,0.921
177,1994-06-17,740.7,0.952
179,1994-06-18,749.0,0.942
180,1994-06-23,793.8,0.86
181,1994-06-26,727.6,0.969
182,1994-07-08,746.9,0.593
183,1994-07-11,861.3,0.367
184,1994-07-12,801.1,0.646
185,1994-07-17,770.5,0.533
187,1994-07-20,767.2,0.73
188,1994-07-25,778.7,0.641
189,1994-08-01,668.2,0.842
190,1994-08-09,514.8,0.802
191,1994-08-13,443.0,0.865
192,1994-08-20,390.0,0.784
193,1994-09-06,230.2,0.998
194,1994-09-09,786.6,0.966
195,1994-09-13,384.2,0.974
196,1994-09-21,887.2,0.967
197,1995-04-09,995.8,0.988
198,1995-04-10,979.6,0.972
199,1995-04-14,1053.8,0.954
200,1995-04-18,1063.5,0.754
201,1995-04-22,1232.0,0.619
202,1995-04-26,1063.2,0.951
203,1995-04-27,1089.6,0.983
204,1995-05-01,1162.0,0.919
205,1995-05-03,1278.3,0.77
207,1995-05-04,1184.1,0.967
208,1995-05-05,1147.4,0.9
209,1995-05-19,1468.1,0.268
210,1995-05-20,1552.9,0.304
211,1995-05-24,1555.8,0.462
212,1995-05-28,1560.1,0.401
213,1995-06-01,1253.9,0.875
214,1995-06-04,1265.6,0.931
215,1995-06-05,1271.9,0.855
217,1995-06-06,1521.3,0.255
218,1995-06-09,1527.7,0.416
219,1995-06-10,1260.2,0.426
221,1995-06-13,1242.3,0.605
222,1995-06-14,1203.1,0.697
223,1995-06-20,1106.6,0.48
224,1995-06-21,1013.8,0.301
225,1995-06-28,958.7,0.207
226,1995-06-29,1228.5,0.909
227,1995-07-06,1194.5,0.891
228,1995-07-07,1179.3,0.835
229,1995-07-11,1505.9,0.633
230,1995-07-14,1134.6,0.717
231,1995-07-15,1198.3,0.944
232,1995-07-16,1169.4,0.949
233,1995-07-19,1401.0,0.393
234,1995-07-23,1111.6,0.878
235,1995-07-30,1003.3,0.929
236,1995-07-31,959.0,0.459
237,1995-08-08,935.8,0.645
238,1995-08-15,842.0,0.856
239,1995-08-16,820.9,0.807
240,1995-08-17,821.8,0.895
241,1995-08-24,745.7,0.921
242,1997-04-14,1128.4,0.883
243,1997-04-19,1085.4,0.808
244,1997-04-23,1107.0,0.862
245,1997-05-01,1208.0,0.731
246,1997-05-05,1247.8,0.795
247,1997-05-09,1290.8,0.904
248,1997-05-25,1706.5,0.245
249,1997-06-02,1698.0,0.622
250,1997-07-28,765.7,0.4
251,1997-08-01,670.4,0.219
252,1998-04-26,1085.5,0.908
253,1998-05-20,1386.6,0.701
254,1998-08-24,953.9,0.927
255,1998-09-09,855.0,0.572
